التاريخ,الفرع,الصنف,الفئة,الكمية,سعر الوحدة,الإجمالي
2026-05-01,فرع الغرب,صنف-193,حلويات,13,68.38,888.94
2026-05-01,فرع الغرب,صنف-113,مشروبات,11,240.78,2648.58
2026-05-01,فرع الغرب,صنف-118,وجبات,25,41.99,1049.75
2026-05-02,فرع الغرب,صنف-113,حلويات,28,72.09,2018.52
2026-05-02,فرع الغرب,صنف-149,مشروبات,18,55.58,1000.44
2026-05-02,فرع الغرب,صنف-155,مستلزمات,3,8.09,24.27
2026-05-02,فرع الغرب,صنف-137,وجبات,33,245.32,8095.56
2026-05-03,فرع الغرب,صنف-194,مشروبات,10,68.02,680.2
2026-05-03,فرع الغرب,صنف-155,مستلزمات,1,186.53,186.53
2026-05-03,فرع الغرب,صنف-153,خدمات,38,188.53,7164.14
2026-05-03,فرع الغرب,صنف-186,وجبات,38,213.85,8126.3
2026-05-03,فرع الغرب,صنف-140,وجبات,8,116.21,929.68
2026-05-04,فرع الغرب,صنف-151,مشروبات,27,64.39,1738.53
2026-05-04,فرع الغرب,صنف-161,وجبات,17,213.11,3622.87
2026-05-04,فرع الغرب,صنف-152,مستلزمات,2,157.28,314.56
2026-05-04,فرع الغرب,صنف-141,خدمات,12,224.15,2689.8
2026-05-05,فرع الغرب,صنف-113,مستلزمات,32,227.51,7280.32
2026-05-05,فرع الغرب,صنف-120,مشروبات,17,138.12,2348.04
2026-05-06,فرع الغرب,صنف-173,خدمات,23,29.77,684.71
2026-05-06,فرع الغرب,صنف-160,مستلزمات,35,55.22,1932.7
2026-05-06,فرع الغرب,صنف-147,خدمات,2,161.62,323.24
2026-05-07,فرع الغرب,صنف-187,مستلزمات,30,56.47,1694.1
2026-05-07,فرع الغرب,صنف-115,وجبات,26,130.88,3402.88
2026-05-07,فرع الغرب,صنف-132,خدمات,23,161.2,3707.6
2026-05-07,فرع الغرب,صنف-101,حلويات,25,102.92,2573.0
2026-05-08,فرع الغرب,صنف-186,مستلزمات,27,159.0,4293.0
2026-05-08,فرع الغرب,صنف-128,حلويات,38,69.96,2658.48
2026-05-09,فرع الغرب,صنف-150,مستلزمات,34,243.02,8262.68
2026-05-09,فرع الغرب,صنف-199,مستلزمات,14,45.31,634.34
2026-05-09,فرع الغرب,صنف-171,مشروبات,13,119.94,1559.22
2026-05-09,فرع الغرب,صنف-181,وجبات,10,91.52,915.2
2026-05-10,فرع الغرب,صنف-183,مستلزمات,19,191.17,3632.23
2026-05-10,فرع الغرب,صنف-129,وجبات,31,91.91,2849.21
2026-05-10,فرع الغرب,صنف-154,حلويات,25,173.43,4335.75
2026-05-10,فرع الغرب,صنف-192,وجبات,31,5.66,175.46
2026-05-10,فرع الغرب,صنف-138,حلويات,23,65.02,1495.46
2026-05-11,فرع الغرب,صنف-181,مستلزمات,32,109.98,3519.36
2026-05-11,فرع الغرب,صنف-138,مشروبات,24,42.42,1018.08
2026-05-11,فرع الغرب,صنف-172,مستلزمات,4,25.89,103.56
2026-05-11,فرع الغرب,صنف-144,حلويات,9,135.01,1215.09
2026-05-12,فرع الغرب,صنف-183,مشروبات,14,238.18,3334.52
2026-05-12,فرع الغرب,صنف-174,حلويات,17,154.01,2618.17
2026-05-13,فرع الغرب,صنف-144,وجبات,12,195.19,2342.28
2026-05-13,فرع الغرب,صنف-168,وجبات,14,226.5,3171.0
2026-05-13,فرع الغرب,صنف-177,وجبات,40,223.33,8933.2
2026-05-14,فرع الغرب,صنف-188,خدمات,20,53.36,1067.2
